at home,41,109,110,147,30,318,131,343,68,560
bar,1363,2664,3716,7054,829,8667,5669,2397,733,12186
barbecue,14,1,11,10,1,136,11,34,17,63
bbq,130,56,226,236,35,952,397,488,167,1033
beer,250,296,11768,3568,139,6686,584,1968,959,2968
Bro-country,6,18,19,0,6,335,0,31,0,0
burger,100,179,219,113,22,379,214,68,29,555
BYOB,1,1,2,3,0,8,0,5,0,9
celebrate,194,657,370,476,195,1232,1839,525,132,1691
concert,2647,3888,52754,9359,791,10238,3512,4564,2030,4529
Cumulus.com,0,0,0,0,0,0,0,0,0,1
day,9690,12364,30727,25175,11635,72895,67165,32120,7013,99186
friends,622,2842,2078,1165,395,5153,4042,2338,1763,7301
game,539,1271,1395,2252,985,2525,3185,1605,431,6934
gamer,1,22,3,8,7,29,22,15,27,66
gaming,9,18,47,32,1,42,43,36,3,105
gourmet,3,14,3,4,0,18,2,5,0,15
holiday,150,315,250,174,941,1146,875,648,141,1759
iHeartRadio,284,362,694,862,242,2245,842,659,207,1476
mashup,24,183,30,25,42,90,139,29,49,316
mash-up,46,60,8,23,14,23,16,4,94,52
night,6679,6702,74312,37571,7884,35255,14910,22864,3515,82119
party,786,1798,17926,8337,457,5409,3168,2301,711,16380
restaurant,24,102,62,1039,20,537,197,48,11,304
weekend,908,556,2105,2147,296,3878,3036,1270,456,6703
youtube,11387,4910,3732,2666,13062,6472,639,869,4316,14769
